"Metadata_Series","Metadata_T","ImageNumber","Intensity_MeanIntensity_pulse","Metadata_Experiment","RealTime","Stim_All_Ch","Stim_All_S"
1,15,197,0.00589878251776,"20170629_10min_FGF250_25_2-5_0-25_coll",30,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,16,198,0.00583727611229,"20170629_10min_FGF250_25_2-5_0-25_coll",32,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,17,199,0.00595630146563,"20170629_10min_FGF250_25_2-5_0-25_coll",34,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,18,200,0.0058790766634,"20170629_10min_FGF250_25_2-5_0-25_coll",36,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,19,201,0.0059095332399,"20170629_10min_FGF250_25_2-5_0-25_coll",38,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,20,202,0.00604892987758,"20170629_10min_FGF250_25_2-5_0-25_coll",40,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,21,203,0.00535612273961,"20170629_10min_FGF250_25_2-5_0-25_coll",42,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,22,204,0.0617851950228,"20170629_10min_FGF250_25_2-5_0-25_coll",44,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,23,205,0.069443307817,"20170629_10min_FGF250_25_2-5_0-25_coll",46,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,24,206,0.0642665401101,"20170629_10min_FGF250_25_2-5_0-25_coll",48,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,25,207,0.0616595968604,"20170629_10min_FGF250_25_2-5_0-25_coll",50,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,26,208,0.0629158988595,"20170629_10min_FGF250_25_2-5_0-25_coll",52,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,27,209,0.00848655123264,"20170629_10min_FGF250_25_2-5_0-25_coll",54,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,28,210,0.00621770136058,"20170629_10min_FGF250_25_2-5_0-25_coll",56,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,29,211,0.00554206781089,"20170629_10min_FGF250_25_2-5_0-25_coll",58,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,30,212,0.00595268420875,"20170629_10min_FGF250_25_2-5_0-25_coll",60,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,31,213,0.00616128696129,"20170629_10min_FGF250_25_2-5_0-25_coll",62,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,32,214,0.00616878131405,"20170629_10min_FGF250_25_2-5_0-25_coll",64,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,33,215,0.00608859630302,"20170629_10min_FGF250_25_2-5_0-25_coll",66,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,34,216,0.00604836130515,"20170629_10min_FGF250_25_2-5_0-25_coll",68,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,35,217,0.00618007453158,"20170629_10min_FGF250_25_2-5_0-25_coll",70,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,36,218,0.0057135829702,"20170629_10min_FGF250_25_2-5_0-25_coll",72,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,37,219,0.006190512795,"20170629_10min_FGF250_25_2-5_0-25_coll",74,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,38,220,0.00619041733444,"20170629_10min_FGF250_25_2-5_0-25_coll",76,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,39,221,0.00620001973584,"20170629_10min_FGF250_25_2-5_0-25_coll",78,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,40,222,0.00590182840824,"20170629_10min_FGF250_25_2-5_0-25_coll",80,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,41,223,0.00623329728842,"20170629_10min_FGF250_25_2-5_0-25_coll",82,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,42,224,0.0060780220665,"20170629_10min_FGF250_25_2-5_0-25_coll",84,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,43,225,0.00623811595142,"20170629_10min_FGF250_25_2-5_0-25_coll",86,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
1,44,226,0.00614960724488,"20170629_10min_FGF250_25_2-5_0-25_coll",88,"Ch01: FGF 250 ng/ml 10'","S01: FGF 250 ng/ml 10'"
